SGD ID	Type	Qualifier	Feature Name	Standard Gene Name	Alias	Parent Feature Name	Secondary SGDID	Chromosome	Start_coordinate	Stop_coordinate	Strand	Genetic Position	Coordinate Version	Sequence Version	Description
S000000250	ORF	Verified	YBR046C	ZTA1	NADPH:quinone reductase	chromosome 2	L000004168	2	331511	330507	C		2/3/2011	1/28/1997	NADPH-dependent quinone reductase; GFP-tagged protein localizes to the cytoplasm and nucleus; has similarity to E. coli quinone oxidoreductase and to human zeta-crystallin
S000000251	ORF	Uncharacterized	YBR047W	FMP23		chromosome 2		2	331833	332360	W		2/3/2011	1/28/1997	"Putative protein of unknown function; proposed to be involved in iron or copper homeostasis; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
S000000252	ORF	Verified	YBR048W	RPS11B	uS17|ribosomal 40S subunit protein S11B|S17|rp41B|YS12|S18B|S11B	chromosome 2	L000001758	2	332831	333812	W		2/3/2011	1/28/1997	"Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S11 and bacterial S17; RPS11B has a paralog, RPS11A, that arose from the whole genome duplication"
S000000253	ORF	Verified	YBR049C	REB1	DNA-binding protein REB1|GRF2	chromosome 2	L000001601	2	336818	334386	C		2/3/2011	1/28/1997	RNA polymerase I enhancer binding protein; DNA binding protein that binds to genes transcribed by both RNA polymerase I and RNA polymerase II; required for termination of RNA polymerase I transcription; Reb1p bound to DNA acts to block RNA polymerase II readthrough transcription
S000000255	ORF	Dubious	YBR051W			chromosome 2		2	337988	338338	W		2/3/2011	1/28/1997	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the REG2/YBR050C regulatory subunit of the Glc7p type-1 protein phosphatase"
S000000254	ORF	Verified	YBR050C	REG2	protein phosphatase regulator REG2	chromosome 2	L000004126	2	338199	337183	C		2/3/2011	1/28/1997	"Regulatory subunit of the Glc7p type-1 protein phosphatase; involved with Reg1p, Glc7p, and Snf1p in regulation of glucose-repressible genes, also involved in glucose-induced proteolysis of maltose permease; REG2 has a paralog, REG1, that arose from the whole genome duplication"
S000000256	ORF	Verified	YBR052C	RFS1	flavodoxin-like fold family protein	chromosome 2		2	339352	338720	C		2/3/2011	1/28/1997	"Protein of unknown function; member of a flavodoxin-like fold protein family that includes Pst2p and Ycp4p; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern; RFS1 has a paralog, PST2, that arose from the whole genome duplication"
S000000257	ORF	Uncharacterized	YBR053C			chromosome 2		2	340751	339675	C		2/3/2011	1/28/1997	Putative protein of unknown function; induced by cell wall perturbation
S000000258	ORF	Verified	YBR054W	YRO2		chromosome 2	L000002548	2	343101	344135	W		2/3/2011	1/28/1997	"Protein with a putative role in response to acid stress; null mutant is sensitive to acetic acid; transcription is regulated by Haa1p and induced in the presence of acetic acid; protein observed in plasma membrane foci in the presence of acetic acid; the authentic, non-tagged protein is detected in a phosphorylated state in highly purified mitochondria in high-throughput studies"
S000000259	ORF	Verified	YBR055C	PRP6	U4/U6-U5 snRNP complex subunit PRP6|TSM7269|RNA6	chromosome 2	L000001499	2	347301	344602	C	33	2/3/2011	1/28/1997	Splicing factor; component of the U4/U6-U5 snRNP complex
S000000260	ORF	Verified	YBR056W		17-beta-hydroxysteroid dehydrogenase-like protein	chromosome 2		2	347879	349384	W		2/3/2011	1/28/1997	Putative glycoside hydrolase of the mitochondrial intermembrane space
S000028736	ORF	Uncharacterized	YBR056W-A			chromosome 2		2	351255	351455	W		2/3/2011	7/29/2003	"Protein of unknown function; mRNA identified as translated by ribosome profiling data; partially overlaps dubious ORF YBR056C-B; YBR056W-A has a paralog, YDR034W-B, that arose from the whole genome duplication"
S000087087	ORF	Dubious	YBR056C-B			chromosome 2		2	351451	351293	C		2/3/2011	11/8/2005	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps the dubious ORF YBR056W-A"
S000000261	ORF	Verified	YBR057C	MUM2	SPOT8	chromosome 2	L000003595|L000002013	2	353293	352193	C	31	2/3/2011	1/28/1997	"Protein essential for meiotic DNA replication and sporulation; cytoplasmic protein; subunit of the MIS complex which controls mRNA methylation during during the induction of sporulation; also interacts with Orc2p, which is a component of the origin recognition complex"
S000000262	ORF	Verified	YBR058C	UBP14	ubiquitin-specific protease UBP14|GID6	chromosome 2	L000003173	2	356017	353672	C		2/3/2011	2003-09-22|1997-01-28	"Ubiquitin-specific protease; specifically disassembles unanchored ubiquitin chains; involved in fructose-1,6-bisphosphatase (Fbp1p) degradation; similar to human isopeptidase T"
S000007521	ORF	Verified	YBR058C-A	TSC3		chromosome 2		2	356566	356324	C		2/3/2011	6/19/2000	Protein that stimulates the activity of serine palmitoyltransferase;  involved in sphingolipid biosynthesis; Lcb1p and Lcb2p are the two components of serine palmitoyltransferase
S000000263	ORF	Verified	YBR059C	AKL1	serine/threonine protein kinase AKL1	chromosome 2	S000007479	2	360187	356861	C		2/3/2011	1/28/1997	Ser-Thr protein kinase; member (with Ark1p and Prk1p) of the Ark kinase family; involved in endocytosis and actin cytoskeleton organization
S000000264	ORF	Verified	YBR060C	ORC2	origin recognition complex subunit 2|SIR5|RRR1	chromosome 2	L000001776	2	362514	360652	C		2/3/2011	1/28/1997	Subunit of the origin recognition complex (ORC); ORC directs DNA replication by binding to replication origins and is also involved in transcriptional silencing; interacts with Spp1p and with trimethylated histone H3; phosphorylated by Cdc28p
S000000265	ORF	Verified	YBR061C	TRM7	tRNA methyltransferase TRM7	chromosome 2		2	365719	364787	C		2/3/2011	1/28/1997	"2'-O-ribose methyltransferase; methylates the 2'-O-ribose of tRNA-Phe, tRNA-Trp, and tRNA-Leu at positions C32 and N34 of tRNA anticodon loop; crucial biological role likely modification of tRNA-Phe; interacts with Trm732p and Rtt10p in 2'-O-methylation of C32 and N34 substrate tRNAs, respectively; yeast null mutant can be functionally complemented by human FTSJ1, mutations in which have been implicated in nonsyndromic X-linked intellectual disability (NSXLID)"
S000000266	ORF	Uncharacterized	YBR062C			chromosome 2		2	366600	365976	C		2/3/2011	2004-07-16|1997-01-28	Protein of unknown function that interacts with Msb2p; may play a role in activation of the filamentous growth pathway
S000000268	ORF	Dubious	YBR064W			chromosome 2		2	367763	368191	W		2/3/2011	1/28/1997	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YBR063C"
S000000267	ORF	Uncharacterized	YBR063C			chromosome 2		2	368184	366970	C		2/3/2011	1/28/1997	Putative protein of unknown function; YBR063C is not an essential gene
S000000269	ORF	Verified	YBR065C	ECM2	SLT11	chromosome 2	L000003878	2	369678	368584	C		2/3/2011	1/28/1997	"Pre-mRNA splicing factor; facilitates the cooperative formation of U2/U6 helix II in association with stem II in the spliceosome, function may be regulated by Slu7p"
S000000270	ORF	Verified	YBR066C	NRG2		chromosome 2	L000004599	2	370699	370037	C		2/3/2011	1/28/1997	Transcriptional repressor; mediates glucose repression and negatively regulates filamentous growth; activated in stochastic pulses of nuclear localization in response to low glucose
S000000271	ORF	Verified	YBR067C	TIP1	putative lipase	chromosome 2	L000002311	2	372735	372103	C		2/3/2011	1/28/1997	Major cell wall mannoprotein with possible lipase activity; transcription is induced by heat- and cold-shock; member of the Srp1p/Tip1p family of serine-alanine-rich proteins
S000000272	ORF	Verified	YBR068C	BAP2	branched-chain amino acid permease BAP2	chromosome 2	L000003157	2	375690	373861	C		2/3/2011	1997-01-28|2011-02-03	"High-affinity leucine permease; functions as a branched-chain amino acid permease involved in uptake of leucine, isoleucine and valine; contains 12 predicted transmembrane domains; BAP2 has a paralog, BAP3, that arose from the whole genome duplication"
S000000273	ORF	Verified	YBR069C	TAT1	amino acid transporter TAT1|VAP1|TAP1	chromosome 2	L000002454|L000002262	2	378433	376574	C		2/3/2011	1/28/1997	"Amino acid transporter for valine, leucine, isoleucine, and tyrosine; low-affinity tryptophan and histidine transporter; overexpression confers FK506 and FTY720 resistance; protein abundance increases in response to DNA replication stress"
S000000274	ORF	Verified	YBR070C	ALG14	N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase anchoring subunit ALG14	chromosome 2		2	379934	379221	C		2/3/2011	1/28/1997	Component of UDP-GlcNAc transferase; required for second step of dolichyl-linked oligosaccharide synthesis; anchors catalytic subunit Alg13p to ER membrane; similar to bacterial and human glycosyltransferases; both human homologs ALG13 and ALG14 are required to complement yeast alg14 mutant
S000000275	ORF	Verified	YBR071W			chromosome 2		2	380411	381046	W		2/3/2011	1/28/1997	Protein of unknown function found in the cytoplasm and bud neck; mRNA expression may be regulated by the cell cycle and/or cell wall stress; overexpression of YBR071W affects endocytic protein trafficking
S000000276	ORF	Verified	YBR072W	HSP26	chaperone protein HSP26	chromosome 2	L000000817	2	382030	382674	W		2/3/2011	1/28/1997	"Small heat shock protein (sHSP) with chaperone activity; forms hollow, sphere-shaped oligomers that suppress unfolded proteins aggregation; long-lived protein that is preferentially retained in mother cells and forms cytoplasmic foci; oligomer activation requires heat-induced conformational change; also has mRNA binding activity"
S000028532	ORF	Uncharacterized	YBR072C-A			chromosome 2		2	383021	382860	C		2/3/2011	7/29/2003	Putative protein of unknown function; identified by fungal homology and RT-PCR
S000000277	ORF	Verified	YBR073W	RDH54	DNA-dependent ATPase RDH54|TID1	chromosome 2	L000002988|L000003224	2	383112	385988	W		2/3/2011	2003-09-22|1997-01-28|2009-05-07|2011-02-03	"DNA-dependent ATPase; DNA recombination/repair translocase, supercoils DNA and promotes DNA strand opening; stimulates strand exchange by modifying dsDNA topology; involved in recombinational repair of DNA double-strand breaks (DSBs) during mitosis and meiosis; phosphorylated in Mec1p-, Rad53p-dependent way in response to one DSB; contributes to remodelling of nucleosomes; proposed to be involved in crossover interference; interacts with Dmc1p; stimulates Dmc1p and Rad51p"
S000000278	ORF	Verified	YBR074W	PFF1	YBR075W	chromosome 2		2	386286	389216	W		2/3/2011	2003-09-29|1997-01-28|2011-02-03	Multi-spanning vacuolar membrane protease; glycosylated transmembrane protein bearing homology to the M28 family of metalloproteases; has a lumenal-facing protease domain; proposed role in vacuole physiology
S000000280	ORF	Verified	YBR076W	ECM8		chromosome 2	L000003883	2	390227	391291	W		2/3/2011	1997-01-28|2011-02-03	Non-essential protein of unknown function
S000028533	ORF	Dubious	YBR076C-A			chromosome 2		2	391617	391351	C		2/3/2011	7/29/2003	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified gene ECM8; identified by fungal homology and RT-PCR"
S000000281	ORF	Verified	YBR077C	SLM4	GSE1|NIR1|EGO3	chromosome 2		2	392293	391805	C		2/3/2011	1/28/1997	Component of the EGO and GSE complexes; essential for integrity and function of EGO; EGO is involved in the regulation of microautophagy and GSE is required for proper sorting of amino acid permease Gap1p; gene exhibits synthetic genetic interaction with MSS4
S000000282	ORF	Verified	YBR078W	ECM33		chromosome 2	L000003902	2	393123	394742	W		2/3/2011	1997-01-28|2011-02-03	"GPI-anchored protein of unknown function; possible role in apical bud growth; GPI-anchoring on the plasma membrane crucial to function; phosphorylated in mitochondria; similar to Sps2p; ECM33 has a paralog, PST1, that arose from the whole genome duplication"
S000000283	ORF	Verified	YBR079C	RPG1	translation initiation factor eIF3 core subunit a|TIF32	chromosome 2	L000004268	2	398277	395383	C		2/3/2011	1/28/1997	eIF3a subunit of the eukaryotic translation initiation factor 3 (eIF3); subunit of the core complex of eIF3; essential for translation; part of a Prt1p-Rpg1p-Nip1p subcomplex that stimulates binding of mRNA and tRNA(i)Met to ribosomes; involved in translation reinitiation; eIF3 is also involved in programmed stop codon readthrough
S000000284	ORF	Verified	YBR080C	SEC18	AAA family ATPase SEC18|ANU4	chromosome 2	L000001842	2	400890	398614	C	48	2/3/2011	1/28/1997	"AAA ATPase and SNARE disassembly chaperone; required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, autophagy, and protein secretion; releases Sec17p from SNAP complexes; has similarity to mammalian N-ethylmaleimide-sensitive factor (NSF)"
S000000285	ORF	Verified	YBR081C	SPT7	SAGA histone acetyltransferase complex subunit SPT7|GIT2	chromosome 2	L000002033	2	405251	401253	C	46	2/3/2011	1/28/1997	Subunit of the SAGA transcriptional regulatory complex; involved in proper assembly of the complex; also present as a C-terminally truncated form in the SLIK/SALSA transcriptional regulatory complex
S000000286	ORF	Verified	YBR082C	UBC4	E2 ubiquitin-conjugating protein UBC4	chromosome 2	L000002407	2	407169	406628	C		2/3/2011	1/28/1997	"Ubiquitin-conjugating enzyme (E2); key E2 partner with Ubc1p for the anaphase-promoting complex (APC); mediates degradation of abnormal or excess proteins, including calmodulin and histone H3; regulates levels of DNA Polymerase-{alpha} to promote efficient and accurate DNA replication; interacts with many SCF ubiquitin protein ligases; component of the cellular stress response; UBC4 has a paralog, UBC5, that arose from the whole genome duplication"
S000000287	ORF	Verified	YBR083W	TEC1	ROC1	chromosome 2	L000002276|L000001658	2	409169	410629	W		2/3/2011	1/28/1997	"Transcription factor targeting filamentation genes and Ty1 expression; Ste12p activation of most filamentation gene promoters depends on Tec1p and Tec1p transcriptional activity is dependent on its association with Ste12p; binds to TCS elements upstream of filamentation genes, which are regulated by Tec1p/Ste12p/Dig1p complex; competes with Dig2p for binding to Ste12p/Dig1p; positive regulator of chronological life span; TEA/ATTS DNA-binding domain family member"
S000000288	ORF	Verified	YBR084W	MIS1	trifunctional formate-tetrahydrofolate ligase/methenyltetrahydrofolate cyclohydrolase/methylenetetrahydrofolate dehydrogenase MIS1	chromosome 2	L000001115	2	411054	413981	W		2/3/2011	1/28/1997	"Mitochondrial C1-tetrahydrofolate synthase; involved in interconversion between different oxidation states of tetrahydrofolate (THF); provides activities of formyl-THF synthetase, methenyl-THF cyclohydrolase, and methylene-THF dehydrogenase"
S000002156	ORF	Verified	YBR084C-A	RPL19A	eL19|ribosomal 60S subunit protein L19A|L19e|rpl5L|YL14|L23A|L19A	chromosome 2	L000001720	2	415261	414186	C		2/3/2011	1/28/1997	"Ribosomal 60S subunit protein L19A; rpl19a and rpl19b single null mutations result in slow growth, while the double null mutation is lethal; homologous to mammalian ribosomal protein L19, no bacterial homolog; RPL19A has a paralog, RPL19B, that arose from the whole genome duplication"
S000000289	ORF	Verified	YBR085W	AAC3	ADP/ATP carrier protein AAC3|ANC3	chromosome 2	L000000005	2	415983	416906	W		2/3/2011	1/28/1997	"Mitochondrial inner membrane ADP/ATP translocator; exchanges cytosolic ADP for mitochondrially synthesized ATP; expressed under anaerobic conditions; similar to Aac1p; has roles in maintenance of viability and in respiration; AAC3 has a paralog, PET9, that arose from the whole genome duplication"
S000007522	ORF	Verified	YBR085C-A			chromosome 2		2	419164	418907	C		2/3/2011	7/14/2000	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and to the nucleus; protein abundance increases in response to DNA replication stress
S000000290	ORF	Verified	YBR086C	IST2		chromosome 2		2	423041	420201	C		2/3/2011	2003-01-03|1997-01-28	"Cortical ER protein involved in ER-plasma membrane tethering; one of 6 proteins (Ist2p, Scs2p, Scs22p, Tcb1p, Tcb2p, Tcb3p) that connect ER to the plasma membrane (PM) and regulate PM phosphatidylinositol-4-phosphate (PI4P) levels by controlling access of Sac1p phosphatase to its substrate PI4P in the PM; localizes to the mother cell in small-budded cells and to the bud in medium- and large-budded cells; mRNA is transported to the bud tip by an actomyosin-driven process"
S000000291	ORF	Verified	YBR087W	RFC5	replication factor C subunit 5	chromosome 2	L000002843	2	423765	424829	W		2/3/2011	1/28/1997	Subunit of heteropentameric Replication factor C (RF-C); RF-C is a DNA binding protein and ATPase that acts as a clamp loader of the proliferating cell nuclear antigen (PCNA) processivity factor for DNA polymerases delta and epsilon
S000000293	ORF	Dubious	YBR089W			chromosome 2		2	425183	425782	W		2/3/2011	1/28/1997	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps the verified gene POL30"
S000000292	ORF	Verified	YBR088C	POL30	proliferating cell nuclear antigen|PCNA	chromosome 2	L000001463	2	425766	424990	C		2/3/2011	1/28/1997	Proliferating cell nuclear antigen (PCNA); functions as the sliding replication clamp for DNA polymerase delta; may function as a docking site for other proteins required for mitotic and meiotic chromosomal DNA replication and for DNA repair; PCNA ubiquitination at K164 plays a crucial role during Okazaki fragment processing
S000002157	ORF	Verified	YBR089C-A	NHP6B	high-mobility group nucleosome-binding protein|YBR090C-A	chromosome 2	L000001246	2	426489	426190	C		2/3/2011	1997-01-28|2011-02-03	"High-mobility group (HMG) protein; binds to and remodels nucleosomes; involved in recruiting FACT and other chromatin remodelling complexes to the chromosomes; functionally redundant with Nhp6Ap; required for transcriptional initiation fidelity of some tRNA genes; homologous to mammalian HMGB1 and HMGB2; NHP6B has a paralog, NHP6A, that arose from the whole genome duplication"
S000000294	ORF	Uncharacterized	YBR090C			chromosome 2		2	427058	426333	C		2/3/2011	1997-01-28|2011-02-03	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus
S000000295	ORF	Verified	YBR091C	TIM12	MRS5	chromosome 2	L000001181	2	427484	427155	C		2/3/2011	1/28/1997	"Essential protein of the inner mitochondrial membrane; peripherally localized; component of the TIM22 complex, which is a twin-pore translocase that mediates insertion of numerous multispanning inner membrane proteins"
S000000296	ORF	Verified	YBR092C	PHO3	acid phosphatase PHO3|phoC	chromosome 2	L000001419	2	429101	427698	C	47	2/3/2011	1/28/1997	"Constitutively expressed acid phosphatase similar to Pho5p; brought to the cell surface by transport vesicles; hydrolyzes thiamin phosphates in the periplasmic space, increasing cellular thiamin uptake; expression is repressed by thiamin"
S000000297	ORF	Verified	YBR093C	PHO5	acid phosphatase PHO5|phoE	chromosome 2	L000001421	2	430951	429548	C	47	2/3/2011	1/28/1997	Repressible acid phosphatase; 1 of 3 repressible acid phosphatases that also mediates extracellular nucleotide-derived phosphate hydrolysis; secretory pathway derived cell surface glycoprotein; induced by phosphate starvation and coordinately regulated by PHO4 and PHO2
S000000298	ORF	Verified	YBR094W	PBY1	putative tubulin tyrosine ligase	chromosome 2		2	432036	434297	W		2/3/2011	1997-01-28|2011-02-03	Putative tubulin tyrosine ligase associated with P-bodies; may have a role in mRNA metabolism; yeast knockout collection strain identified as a pby1 null mutant is actually wild-type for PBY1 and deleted for mms4
S000000299	ORF	Verified	YBR095C	RXT2	RAF60	chromosome 2		2	435698	434406	C		2/3/2011	2003-09-22|1997-01-28	Component of the histone deacetylase Rpd3L complex; possibly involved in cell fusion and invasive growth; relocalizes to the cytosol in response to hypoxia
S000000300	ORF	Uncharacterized	YBR096W			chromosome 2		2	436021	436713	W		2/3/2011	1/28/1997	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the ER
S000000301	ORF	Verified	YBR097W	VPS15	ubiquitin-binding serine/threonine protein kinase VPS15|VPT15|VPS40|VPL19|VAC4|GRD8	chromosome 2	L000002470|L000002924|S000029641|L000002480	2	436951	441315	W		2/3/2011	1997-01-28|2011-02-03	"Serine/threonine protein kinase involved in vacuolar protein sorting; functions as a membrane-associated complex with Vps34p; active form recruits Vps34p to the Golgi membrane; interacts with the GDP-bound form of Gpa1p; myristoylated; a fraction is localized, with Vps34p, to nuclear pores at nucleus-vacuole junctions and may facilitate transcription elongation for genes positioned at the nuclear periphery"
S000000302	ORF	Verified	YBR098W	MMS4	YBR100W|SLX2	chromosome 2		2	441515	443590	W		2/3/2011	2003-01-03|1997-01-28	"Subunit of structure-specific Mms4p-Mus81p endonuclease; cleaves branched DNA; involved in recombination, DNA repair, and joint molecule formation/resolution during meiotic recombination; phosphorylation of the non-catalytic subunit Mms4p by Cdc28p and Cdc5p during mitotic cell cycle activates the function of Mms4p-Mus81p"
S000000303	ORF	Dubious	YBR099C			chromosome 2		2	443307	442924	C		2/3/2011	1/28/1997	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the verified gene MMS4"
S000000305	ORF	Verified	YBR101C	FES1		chromosome 2		2	444693	443821	C		2/3/2011	1/28/1997	"Hsp70 (Ssa1p) nucleotide exchange factor; required for the release of misfolded proteins from the Hsp70 system to the Ub-proteasome machinery for destruction; cytosolic homolog of Sil1p, which is the nucleotide exchange factor for BiP (Kar2p) in the endoplasmic reticulum; protein abundance increases in response to DNA replication stress"
S000000306	ORF	Verified	YBR102C	EXO84	exocyst subunit EXO84|USA3	chromosome 2	S000007470|L000003227	2	447323	445062	C		2/3/2011	1/28/1997	Exocyst subunit with dual roles in exocytosis and spliceosome assembly; subunit of the the exocyst complex which mediates polarized targeting and tethering of post-Golgi secretory vesicles to active sites of exocytosis at the plasma membrane (PM) prior to SNARE-mediated fusion; required for exocyst assembly and targeting the complex to specific sites on the bud tip PM; associates the U1 snRNP; role in pre-mRNA splicing and prespliceosome formation; possible Cdc28 substrate
S000000307	ORF	Verified	YBR103W	SIF2	EMB1	chromosome 2		2	447709	449316	W		2/3/2011	1/28/1997	WD40 repeat-containing subunit of Set3C histone deacetylase complex; complex represses early/middle sporulation genes; antagonizes telomeric silencing; binds specifically to the Sir4p N-terminus
S000007593	ORF	Dubious	YBR103C-A			chromosome 2		2	449463	449320	C		2/3/2011	2/26/2001	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; identified by homology to related yeast"
S000000308	ORF	Verified	YBR104W	YMC2	organic acid transporter	chromosome 2	L000002521	2	449667	450656	W		2/3/2011	1/28/1997	"Putative mitochondrial inner membrane transporter; proposed role in oleate metabolism and glutamate biosynthesis; member of the mitochondrial carrier (MCF) family; YMC2 has a paralog, YMC1, that arose from the whole genome duplication"
S000000309	ORF	Verified	YBR105C	VID24	glucose-induced degradation complex subunit VID24|GID4	chromosome 2	L000004624	2	451969	450881	C		2/3/2011	1/28/1997	"GID Complex regulatory subunit; binds GID Complex in response to glucose through interactions with complex member Vid28p; regulates fructose-1,6-bisphosphatase (FBPase) targeting to the vacuole; promotes proteasome-dependent catabolite degradation of FBPase; peripheral membrane protein located at Vid (vacuole import and degradation) vesicles"
S000000310	ORF	Verified	YBR106W	PHO88	SND3	chromosome 2	L000003995	2	452658	453224	W		2/3/2011	1/28/1997	"Protein involved in SRP-independent targeting of substrates to the ER; component of an alternative ER targeting pathway that has partial functional redundancy with the GET pathway; preference for substrates with downstream transmembrane domains; interacts with Snd1p, Env10p/Snd2p, and Sec61p-translocon subunits; can compensate for loss of SRP; role in phosphate transport, interacting with pho88, and in the maturation of secretory proteins"
S000000311	ORF	Verified	YBR107C	IML3	MCM19	chromosome 2	L000004778	2	454530	453793	C		2/3/2011	1/28/1997	Outer kinetochore protein and component of the Ctf19 complex; involved in the establishment of pericentromeric cohesion during mitosis; prevents non-disjunction of sister chromatids during meiosis II; forms a stable complex with Chl4p; required for localization of Sgo1p to pericentric sites during meiosis I; orthologous to human centromere constitutive-associated network (CCAN) subunit CENP-L and fission yeast fta1
S000000312	ORF	Verified	YBR108W	AIM3		chromosome 2		2	454822	457665	W		2/3/2011	2004-07-09|1997-01-28|2011-02-03	Protein that inhibits barbed-end actin filament elongation; interacts with Rvs167p; null mutant is viable and displays elevated frequency of mitochondrial genome loss
S000000313	ORF	Verified	YBR109C	CMD1	calmodulin|CaM	chromosome 2	L000000365	2	458362	457919	C	53	2/3/2011	1/28/1997	"Calmodulin; Ca2+ binding protein that regulates Ca2+ independent processes (mitosis, bud growth, actin organization, endocytosis, etc.) and Ca2+ dependent processes (stress-activated pathways), targets include Nuf1p, Myo2p and calcineurin; binds to the Hog1p MAPK in response to hyperosmotic stress; potentiates membrane tubulation and constriction mediated by the Rvs161p-Rvs167p complex; human CALM1 or CALM2 functionally complement repression induced inviability"
S000028737	ORF	Dubious	YBR109W-A			chromosome 2		2	458608	458832	W		2/3/2011	7/29/2003	Putative protein of unknown function; questionable ORF from MIPS
S000000314	ORF	Verified	YBR110W	ALG1	"chitobiosyldiphosphodolichol beta-1,4 mannosyltransferase"	chromosome 2	L000000076	2	458872	460221	W	54	2/3/2011	1/28/1997	Mannosyltransferase; involved in asparagine-linked glycosylation in the endoplasmic reticulum (ER); essential for viability; human homolog ALG1 complements yeast null mutant
S000000315	ORF	Verified	YBR111C	YSA1	ADP-ribose diphosphatase|RMA2	chromosome 2	L000002551	2	461873	461178	C		2/3/2011	1/28/1997	Nudix hydrolase family member with ADP-ribose pyrophosphatase activity; shown to metabolize O-acetyl-ADP-ribose to AMP and acetylated ribose 5'-phosphate
S000028510	ORF	Verified	YBR111W-A	SUS1		chromosome 2		2	462139	462579	W		2/3/2011	2003-12-17|2003-07-29	Component of both the SAGA histone acetylase and TREX-2 complexes; interacts with RNA polymerase II; involved in mRNA export coupled transcription activation and elongation; involved in post-transcriptional tethering of active genes to the nuclear periphery and to non-nascent mRNP
S000000317	ORF	Dubious	YBR113W			chromosome 2		2	465566	466048	W		2/3/2011	1/28/1997	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene CYC8"
S000000316	ORF	Verified	YBR112C	CYC8	transcription regulator CYC8|[OCT]|[OCT1+]|SSN6|CRT8	chromosome 2	L000000452	2	465770	462870	C	56	2/3/2011	1/28/1997	General transcriptional co-repressor; acts together with Tup1p; also acts as part of a transcriptional co-activator complex that recruits the SWI/SNF and SAGA complexes to promoters; can form the prion [OCT+]
S000000318	ORF	Verified	YBR114W	RAD16	DNA repair protein RAD16|PSO5	chromosome 2	L000004121|L000001565	2	467248	469620	W	58	2/3/2011	1/28/1997	Nucleotide excision repair (NER) protein; binds damaged DNA during NER; binds DNA in an ATP-dependent manner (with Rad7p) during NER; required for NER of non-transcribed chromatin; subunit of Nucleotide Excision Repair Factor 4 (NEF4) and the Elongin-Cullin-Socs (ECS) ligase complex
S000000319	ORF	Verified	YBR115C	LYS2	L-aminoadipate-semialdehyde dehydrogenase	chromosome 2	L000000965	2	473926	469748	C	59	2/3/2011	1/28/1997	"Alpha aminoadipate reductase; catalyzes the reduction of alpha-aminoadipate to alpha-aminoadipate 6-semialdehyde, which is the fifth step in biosynthesis of lysine; activation requires posttranslational phosphopantetheinylation by Lys5p"
S000000320	ORF	Dubious	YBR116C			chromosome 2		2	474726	474199	C		2/3/2011	1/28/1997	"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene TKL2"
S000000321	ORF	Verified	YBR117C	TKL2	transketolase TKL2	chromosome 2	L000002314	2	476437	474392	C		2/3/2011	1/28/1997	"Transketolase; catalyzes conversion of xylulose-5-phosphate and ribose-5-phosphate to sedoheptulose-7-phosphate and glyceraldehyde-3-phosphate in the pentose phosphate pathway; needed for synthesis of aromatic amino acids; TKL2 has a paralog, TKL1, that arose from the whole genome duplication"
S000000322	ORF	Verified	YBR118W	TEF2	translation elongation factor EF-1 alpha|eEF1A|EF-1 alpha	chromosome 2	L000002278	2	477671	479047	W	61	2/3/2011	1/28/1997	"Translational elongation factor EF-1 alpha; in the GTP-bound active form, binds to and delivers aminoacylated tRNA to the A-site of ribosomes for elongation of nascent polypeptides; associates with vacuolar Rho1p GTPase; TEF2-RFP levels increase during replicative aging; may also have a role in tRNA re-export from the nucleus; TEF2 has a paralog, TEF1, that arose from the whole genome duplication"
S000000323	ORF	Verified	YBR119W	MUD1	U1A|U1-A	chromosome 2	L000001217	2	479338	480323	W		2/3/2011	1/28/1997	U1 snRNP A protein; homolog of human U1-A; involved in nuclear mRNA splicing
